"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2015-16",20160422,"BOS",111,27,50,11,32,24,33,7,37,23,10,15,6,20,"ATL",103,29,50,9,36,18,21,7,34,19,10,13,7,24
"2015-16",20160422,"DET",91,30,51,6,23,13,19,5,27,22,7,7,3,19,"CLE",101,27,51,12,29,11,15,12,34,24,3,10,4,17
"2015-16",20160422,"MEM",87,30,64,4,18,15,19,15,33,17,4,14,4,17,"SAS",96,23,51,12,26,14,19,7,32,24,10,9,12,20
"2015-16",20160423,"CHA",96,30,72,5,18,21,22,9,38,18,5,3,4,24,"MIA",80,20,57,7,22,19,30,12,41,13,1,14,8,20
"2015-16",20160423,"DAL",108,35,60,8,23,14,17,7,26,25,3,11,2,27,"OKC",119,37,67,7,16,24,34,12,30,26,6,9,3,19
"2015-16",20160423,"IND",100,34,69,6,16,14,18,15,28,24,10,12,5,22,"TOR",83,19,44,8,30,21,30,11,29,12,8,17,3,20
"2015-16",20160423,"POR",96,31,62,6,25,16,23,16,40,15,5,16,3,24,"LAC",88,33,70,3,18,13,23,11,33,15,11,10,4,17
"2015-16",20160424,"BOS",104,29,61,11,33,13,19,12,40,25,7,14,7,19,"ATL",95,25,57,12,42,9,13,12,37,18,8,14,6,20
"2015-16",20160424,"DET",98,27,52,10,24,14,21,7,35,22,3,9,4,18,"CLE",100,23,50,13,36,15,17,10,31,16,6,5,1,22
"2015-16",20160424,"HOU",94,28,51,5,27,23,38,9,35,18,11,18,3,20,"GSW",121,25,49,21,40,8,16,7,36,38,10,16,2,26
"2015-16",20160424,"MEM",95,30,65,5,13,20,27,14,23,18,6,17,5,29,"SAS",116,30,59,10,22,26,31,13,28,21,8,10,6,21
"2015-16",20160425,"CHA",89,26,59,4,16,25,30,6,30,10,7,9,7,20,"MIA",85,19,47,11,29,14,21,10,36,20,2,17,8,26
"2015-16",20160425,"OKC",118,31,51,10,30,26,32,14,28,19,6,8,5,22,"DAL",104,30,57,8,24,20,24,13,22,24,5,9,3,24
"2015-16",20160425,"POR",98,23,57,13,31,13,15,16,42,27,5,15,7,25,"LAC",84,23,59,7,25,17,28,10,32,16,10,9,4,17
"2015-16",20160426,"ATL",110,28,61,14,35,12,16,13,38,30,13,12,3,17,"BOS",83,22,48,7,29,18,25,10,34,19,5,20,6,17
"2015-16",20160426,"TOR",102,27,56,6,26,30,35,12,29,12,9,7,3,18,"IND",99,20,44,13,29,20,23,8,33,22,5,14,5,26
"2015-16",20160427,"GSW",114,32,51,13,31,11,19,6,34,30,10,9,6,16,"HOU",81,25,63,6,32,13,19,22,31,17,8,17,3,22
